kernel,batch_size,seq_len,ops,bytes_moved,latency_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,throughput_mops
baseline,32,128,16384,32768,3.6036100001183513,3.551850000349077,3.86844999979985,3.9357699999982287,4.546551929721004
numpy,32,128,16384,32768,0.014099999953032238,0.013899999885325087,0.015499999790336005,0.015499999790336005,1161.985819473466
numba,32,128,16384,32768,0.017040000057022553,0.016649999906803714,0.020145000053162217,0.021549000266531948,961.5023442002747
baseline,64,256,65536,131072,15.269879999868863,13.825550000092335,20.591445000081876,20.89164899995012,4.291847742127824
numpy,64,256,65536,131072,0.033209999946848257,0.029399999675661093,0.04939000027661677,0.05219800070335623,1973.3815147512394
numba,64,256,65536,131072,0.029329999779292848,0.026849999358091736,0.04126499984522525,0.041372999685336254,2234.435748147151
baseline,128,512,262144,524288,57.66105000020616,57.55630000021483,59.43192500030818,59.51238500037107,4.5462925146014985
numpy,128,512,262144,524288,0.09060999982466456,0.0890999995135644,0.09750500021254993,0.09934100044119987,2893.102312186992
numba,128,512,262144,524288,0.05553999990297598,0.054350000027625356,0.061549999918497626,0.061910000040370505,4719.913584046542
numpy,256,1024,1048576,2097152,1.1381599998458114,1.1160499998368323,1.2588550000145913,1.292730999957712,921.290504096131
numba,256,1024,1048576,2097152,0.6364000000758097,0.6449000002248795,0.6831799997144117,0.6931159997384384,1647.668133053254
numpy,512,2048,4194304,8388608,4.8888000000260945,4.444199999852572,6.815939999842154,7.993427999472261,857.9414171120956
numba,512,2048,4194304,8388608,2.4369400001887698,2.4288499998874613,2.8937400004906517,2.928588000631862,1721.1355222841355
numpy,1024,4096,16777216,33554432,18.071599999984755,17.820750000282715,20.104610000316825,20.576282000411084,928.3746873555276
numba,1024,4096,16777216,33554432,9.57750000006854,9.65474999975413,9.948544999861042,10.034188999779872,1751.7322892069888
